Name,Address,City,Province/State,Country,Postal/Zip Code,Phone,Fax,Email,Website,Hours,Latitude,Longitude,Click and Collect (Y/N),Dealer (Y/N),Rental Station (Y/N),Service Center (Y/N)
REVEN EUROPE GmbH,Am Umspannwerk 6,Baindt/Schachen,Baden-Wuerttemberg,DE,88255,+49 7502 9421898,,info@revenbikes.com,https://revenbikes.de/,"Montag: 13:00 �?19:00 Uhr
Dienstag - Freitag: 13:00 �?18:00 Uhr
Samstag: 9:00 �?13:00 Uhr
Mittwoch geschlossen",47.836296,9.633614,N,Y,N,Y
Sport Edoardo,Via Pecei 12,Corvara ,Trentino-Alto Adige,IT,39033,,,info@sportedoardo.it,https://www.sportedoardo.it/,Monday - Saturday: 08:30 - 12:00 & 15:00 - 19:00,46.553564,11.853234,N,Y,N,Y
Bader Rad-Kraftwerk,Dieselstraße 6,Leinfelden-Echterdingen,Baden-Wuerttemberg,DE,70771,+49 711 220 918 16,,stephan.bader@rad-kraftwerk.de,https://rad-kraftwerk.de/,"Dienstag - Freitag: 10:00 - 18:30 Uhr
Samstag: 10:00 - 13:30 Uhr",48.695559,9.165798,N,Y,N,Y
Zweirad Högerl,Bogenroither Straße 4,Wiesenfelden,Bayern,DE,94344,+49 9966 1201,,info@zweirad-hoegerl.de,https://www.zweirad-hoegerl.de/,"Montag - Freitag: 08:00 - 12:00 Uhr & 13:00 - 18:00 Uhr
Samstag: 08:30 - 12:00 Uhr",49.042433,12.534985,N,Y,N,Y
Bike Monkey ,Bgm.-Neumeyr-Straße 7,Allershausen,Bayern,DE,85391,+49 8166 9889258,,info@bike-monkey.de,https://bike-monkey.de/,"Montag - Donnerstag: 17:00 - 20:00 Uhr
Freitag: 9:30 - 17:00 Uhr
Samstag: 10:00 -16:00 Uhr",48.42787,11.58306,N,Y,N,Y
Wunderlich GmbH,Dieselstraße 2,Marktleuthen,Bayern,DE,95168,,,info@wunderlich-umwelt.de,http://www.wunderlich-umwelt.de/,"Montag - Freitag: 8:00 - 18:00 Uhr
Samstag: 8:00 - 12:00 Uhr",50.136698,12.013486,N,Y,N,Y
Fahrrad Hoffmann,Horster Landstraße 117,Seevetal,,DE,21220,+49 4105 84005,,info@fahrradhoffmann.de,https://fahrradhoffmann.de/,"Montag - Freitag: 9:00 - 13:00 Uhr & 14:00 - 18:00 Uhr
Samstag: 9:00 - 14:00 Uhr",53.377581,10.035267,Y,Y,N,N
Ebike Riviera Tour ,8 boulevard Lech WALESA,Nice,,FR,06300 ,+33 6 65 27 52 79,,,,"Monday: closed
Tuesday - Friday: 9 am - 12 pm & 2 - 7 pm
Saturday: 9:30 am - 12 pm & 1:30 - 6 pm",43.699462,7.287171,N,Y,N,N
1000 Räder Hamburg,Krausestraße 116a,Hamburg,,DE,22049,+49 40 6525 217,,info@1000raeder.de,https://www.1000raeder.de/,"Montag - Freitag: 10:00 - 19:00 Uhr
Samstag: 10:00 - 16:00 Uhr",53.577294,10.058,Y,Y,N,N
Nicklas Kleingerätewelt,Bürgermeister-Kleinlein-Straße 2,Thurnau,,DE,95349,+49 92289974151,,info@kleingeraetewelt.de,https://www.kleingeraetewelt.de/,"Montag - Freitag: 9:00 - 18:00 Uhr
Samstag: 8:00 - 13:00 Uhr",50.023304,11.390817,Y,Y,N,Y
FanVelo ,426 rue Jenny Vetillard Lieu dit Le Chassagnon ,Mazeyrat d'Allier,,FR,43300,+33 6 33 33 37 66 ,,contact@fanvelo.fr,http://fanvelo.fr/,"Tuesday - Thursday: 5 - 9 pm
Friday: 2 - 7 pm
Saturday: 9 am - 2 pm",45.123053,3.53222,N,Y,N,N
Bike Now,Amberger Straße 95,Neumarkt,Bayern,DE,92318,+49 9181 47550,,team@bikenow.de,https://bikenow.de/,"Montag - Freitag: 8:00 - 18:00 Uhr
Samstag: 8:00 - 13:00 Uhr",49.296698,11.480118,N,Y,N,Y
Veloland Blois,Rue Bernard Palissy,Vineuil,Lorraine,FR,41350,+33 254500103,,velolandblois@valdeloirevelo.fr,https://valdeloirevelo.fr/,"Monday: 2 pm - 7 pm
Tuesday - Saturday: 10 - 12 am & 2 - 7 pm",47.581201,1.375111,N,Y,N,Y
Val de Loire Velo,15 Rue Arthur Rimband,Tours,Lorraine,FR,37100,+33 247633724,,toursnord@valdeloirevelo.fr,https://www.valdeloirevelo.fr/,"Monday: 2 - 7 pm
Tuesday - Saturday: 10 - 12 am & 2 - 7 pm",47.429554,0.70801,N,Y,N,Y
Val de Loire Velo,7 Rue Paul Langevin,Chambray les Tours,Lorraine,FR,37170,+33 247748080,,velolandtours@valdeloirevelo.fr,https://www.valdeloirevelo.fr/,"Monday: 2 - 7 pm
Tuesday - Saturday: 10 - 12 am & 2 - 7 pm",47.327629,0.704564,N,Y,N,N
Badbikes,Dornbergweg 28,Werningerode,Sachsen-Anhalt,DE,38855,+49 3943 694 253,,badbikes.online@gmail.com,https://www.rockmachine-germany.de/,"Mo - Fr: 08:30 - 18:30 Uhr
Sa: 09:00 - 13:00 Uhr",51.847513,10.785027,Y,Y,N,N
Velocity Braunschweig GmbH,Kurt-Schumacher-Straße 8,Braunschweing,Niedersachsen,DE,38102,+49 531 1231180,,verkauf@velocity-bs.de,https://velocity-bs.de/,"Montag : geschlossen
Dienstag - Freitag: 11:00 - 19:00 Uhr
Samstag: 10:00 - 14:00 Uhr",52.254454,10.53573,Y,Y,N,N
Rad Max ,Marktplatz 7,Mühlacker,Baden-Wuerttemberg,DE,75417,+49 172 77 40 890,,info@rad-max.de,https://www.rad-max.de/,"Montag: 14:00  - 18:00 Uhr
Dienstag, Donnerstag & Freitag: 10:00 - 13:00 Uhr & 14:00 - 18:00 Uhr
Mittwoch: 14:00 - 18:00 Uhr
Samstag: 10:00 - 13:00 Uhr",48.940693,8.842049,N,Y,N,N
CICLI BERTINETTI,Via Trieste 47,Biella,Piedmont,IT,13900,+39 15406587,,ciclibertinetti@libero.it,,"Tuesday - Friday: 9:00 - 12:00 & 16:00 - 19:00
Saturday: 9:00 - 12:00
",45.557349,8.063099,N,Y,N,Y
Cycles Guyonnet,105 Avenue du Marechal de Lattre,Niort,Poitou-Charentes,FR,79000,+33 5 49 73 98 86,,Cycles-guyonnet@orange.fr,,"Monday:  14:00 - 18:00
Tuesday, Thursday, Friday & Saturday: 8:00 12:00 & 14:00 - 18:00",46.323099,-0.4674,N,Y,N,Y
CYCLES EXPERTS BAIN DE BR,1 Rue Lanserva,Plechatel,Bretagne,FR,35470,+33 299444650,,sarlh3b@gmail.com,http://cyclexperts.com,"Monday - Friday: 9:30 -12:30 & 14:00 - 19:00
Saturday: 9:30 - 18:00",47.861853,-1.680919,N,Y,N,Y
Martin's Fahrradladen,Alter Hessenweg 23a,Lüneburg,Niedersachsen,DE,21335,+49 41319984140,,md.doetsch@gmail.com,,"Dienstag - Freitag: 10:00 - 12:00 & 13:00 - 18:00 Uhr
Samstag: 11:00 - 14:00 Uhr",53.215963,10.388684,N,Y,N,Y
enduroX Hollmann& Richter GbR,Hetzweger Weg 4,Rotenburg,Niedersachsen,DE,27356,+49 4261-6826,,INFO@ENDUROX.DE,https://www.endurox.de/,"Montag - Freitag: 09:00 - 18:00 Uhr
Samstag: 10:00 - 13:00 Uhr",53.123767,9.421115,Y,Y,N,Y
Fahrrad-Team Baumann,Im Leimenfeld 7,Ringsheim,Baden-Wuerttemberg,DE,77975,+49 176/32426587 ,,fahrrad@teambaumann.com,https://www.teambaumann.com/fahrrad,"Montag, Dienstag, Donnerstag & Freitag: 15:30 Uhr- 18:30 Uhr
Mittwoch: geschlossen
Samstag: 10:00 - 13:00 Uhr
",48.247469,7.770771,N,Y,N,Y
Radlmadl ,Lenbachstraße 39,Schrobenhausen,Bayern,DE,86529,+49 176 31541822,,info@radlmadl.de,https://radlmadl.de/,"Dienstag - Freitag: 9:00 - 13:00 & 14:00 - 18:00 Uhr
Samstag: 9:00 - 13:00 Uhr",48.559631,11.265,N,Y,N,Y
Sport Passion GSB,273 chemin de Croupillac,Ales,Midi-Pyrenees,FR,30100,+33 4 66 55 17 23,,30ales@culturevelo.com,https://www.culturevelo.com/-Ales-,Monday - Saturday: 9:30 - 12:30 & 14:30 - 19:00,44.132211,4.104612,N,Y,N,N
GEM BIKES BBMC ,22 avenue du Mont Aigoual,Ganges,Midi-Pyrenees,FR,34190,+33 4 99 64 91 73,,34ganges@gem-bikes.com,https://shop.gem-bikes.com/,"Monday: 14:30 - 19:00
Tuesday - Saturday: 9:30 - 12:30 & 14:30 -19:00",43.932283,3.710256,N,Y,N,N
MONBOIPEN SPORT34,2 rue des Joncasses,Le Cres,Languedoc-Roussillon,FR,34920,+33 4 67 72 64 46,,34montpellier-lecres@culturevelo.c,https://www.culturevelo.com/-Mon,"Monday: closed
Tuesday - Saturday: 9:30 -12:00 & 14:00 - 19:00",43.642487,3.939191,N,Y,N,N
Zweirad Würdinger ,Kapuziner Straße 107,Vilshofen,Bayern,DE,94474,+49 8541 910710,,info@wuerdinger.de,https://www.wuerdinger.de/,"Montag - Freitag: 09:00 - 18:00 Uhr
Samstag: 9:00 - 13:00 Uhr",48.641274,13.172142,N,Y,N,Y
Zweirad Würdinger,Äußere Spitalhofstraße 2,Passau,Bayern,DE,94036,+49 851 6346,,passau@wuerdinger.de,https://www.wuerdinger.de/,"Montag - Freitag: 9:00 - 18:00 Uhr
Samstag: 9:00 - 13:00 Uhr",48.57202,13.444943,N,Y,N,Y
Zweirad Würdinger,Scheiblerstr. 10,Plattling,Bayern,DE,94447,+49 9931 8945901,,plattling@wuerdinger.de,https://www.wuerdinger.de/,"Montag - Freitag: 9:00 - 18:00 Uhr
Samstag: 9:00 - 13:00 Uhr",48.788257,12.891239,N,Y,N,Y
Radshop Brunner,Mürwiker Straße 144,Flensburg,Schleswig-Holstein,DE,24943,+49 461 312462,,info@eike-brunner.de,http://eike-brunner.de/,"Montag - Freitag: 9:00 - 18:00 Uhr
Samstag: 9:00 - 13:00 Uhr",54.805826,9.458736,Y,Y,N,N
Zweiradhaus Kämpflein,Mittelstraße 35+37,Daaden,Rheinland-Pfalz,DE,57567, +49 2743 930204 ,, kaempflein@t-online.de,https://www.kaempflein-zweirad.de/,"Montag - Freitag: 10:00 - 13:00 Uhr & 14:00 - 18:00 Uhr
Samstag: 10:00 - 13:00 Uhr
",50.737839,7.971056,N,Y,N,Y
Fahrrad Rapp,Hauptstraße 161,Kehl,Baden-Wuerttemberg,DE,77694,+49 785171231,,info@fahrrad-rapp.de,https://www.fahrrad-rapp.de/,"Montag, Dienstag, Donnerstag & Freitag: 9:00 - 13:00 & 14:00 - 18:00 Uhr
Samstag: 9:00 - 13:00 Uhr",48.569055,7.8215,N,Y,N,N
House of Bikes,Eiserfelder Straße 236,Siegen,Nordrhein-Westfalen,DE,57080,+49 271 3868250 ,, info@house-of-bikes.de,https://www.house-of-bikes-siegen.de/,"Montag - Freitag: 10:00 - 18:00 Uhr
Samstag: 9:00 - 14:00 Uhr",50.850906,7.995825,Y,Y,N,Y
CM Emporio,Piazza Mercato 14,Comano Terme,Trentino-Alto Adige,IT,38077,+39 335 453188,,info@cm-emporio.it,https://cm-emporio.it/,"Monday - Saturday: 6:30 - 12:30 & 15:00 - 19:30
Sunday: 7:00 - 12:00",46.036266,10.868931,N,Y,N,Y
VELOLAND Cannes,Zi Les Tourrades,Mandelieu,Provence-Alpes-Cote d'Azur,FR,06210,+33 493472026,,veloland-cannes@veloland.com,http://veloland.com,Tuesday - Saturday: 10:00 - 13:00 & 15:00 - 19:00,43.5545,6.95442,N,Y,N,N
Motopep,Via Cesare Battisti 82,Pogliano Milanese,Lombardy,IT,20005,+39 02 934 1902,,motorpep@gmail.com,https://www.motorpepstore.it,"Tuesday - Saturday: 9:00 �?2:30 & 15:00 �?19:00
",45.535034,9.004576,N,Y,N,Y
Drahtesel Der Fahrradladen,Saathainer Straße 296,Elsterwerda,Brandenburg,DE,04910,+49 6355 164471,,mrz-weber@t-online.de,,"Montag - Freitag: 9:00 - 18:00 Uhr
Samstag: 9:00 - 12:00 Uhr",51.468572,13.495744,N,Y,N,Y
Bike Point Jena,Löbstedter Straße 53,Jena,Thüringen,DE,07749,+49 3641 618561,,mail@bike-point-jena.de,https://bike-point-jena.de/,"Montag - Freitag: 10:00 - 18:00 Uhr
Samstag: 10:00 - 13:00 Uhr",50.94201,11.60094,N,Y,N,Y
EBike-Warehouse.de,Hoffeldstr. 104,Düsseldorf,Nordrhein-Westfalen,DE,40235,+49 211-4167251,,info@ebike-warehouse.de,https://ebike-warehouse.de/,"Montag - Freitag: 9:30 - 17:30 Uhr
Samstag: 11:00 - 15:00 Uhr",51.226708,6.817234,Y,Y,N,Y
Fahrradladen Bonn,Justus-von-Liebig-Str. 31,Bonn,Nordrhein-Westfalen,DE,53121,+49 228 84254877,,info@fahrradladen-bonn.de,https://www.fahrradladen-bonn.de/,,50.739419,7.052456,Y,Y,N,Y
Zweirad Hansen,Steingasse 4,Blankenheim,Nordrhein-Westfalen,DE,53945,+49 163 844 333 6,,info@zweirad-hansen.de,https://www.zweirad-hansen.de/,"Dienstag - Freitag: 14:00 - 18:00 Uhr
Samstag: 9:00 - 12:00 Uhr",50.388006,6.74045,Y,Y,N,Y
e-motion eBike Welt Wedel,Langenkamp 28,Wedel,Schleswig-Holstein,DE,22880,+49 4103 80 620 81,,wedel@emotion-ebikes.de,https://ebikes-nord.de/home/standorte/wedel/,"Montag - Freitag: 10:00 - 18:30 Uhr
Samstag: 10:00 - 15:30 Uhr",53.573232,9.728139,Y,Y,N,N
e-motion e-Bike Premium-Shop Blankenese,Blankeneser Bahnhofstraße 60,Hamburg,Hamburg,DE,22587,+49 40 571990352,,blankenese@emotion-bikes.de,https://ebikes-nord.de/blankenese/,"Montag, Dienstag, Donnerstag & Freitag: 10:00 - 18:30 Uhr
Samstag: 10:00 - 15:30 Uhr",53.563065,9.811861,N,Y,N,N
Fahrradprofi,Neumühler Straße 16,Amberg,Bayern,DE,92224,+49 9621 7890 010,,fahrradprofi@hotmail.de,https://www.fahrradprofishop.de/,"Montag - Freitag: 8:00 - 18:00 Uhr
Samstag: 9:00 - 13:00 Uhr",49.469414,11.850316,N,Y,N,Y
Bergspezl Puch,Halleiner Landesstraße 50,Puch bei Hallein,Salzburg,AT,5412,+43 6245 730 00,,buero@bergspezl.at,https://bergspezl.at/,"Montag - Freitag: 8:00 - 18:00 Uhr
Samstag: 9:00 - 13:00 Uhr",47.71224,13.092474,N,Y,N,Y
Bergspezl Salzburg,Eberhard-Fugger-Straße 2,Salzburg,Salzburg,AT,5020,+43 662 642 555,,verkauf@bergspezl-rad.at,https://bergspezl.at/,"Montag - Freitag: 8:00 - 18:00 Uhr
Samstag: 9:00 - 13:00 Uhr",47.802318,13.06762,N,Y,N,Y
Henco GmbH & Co. KG Westerstede,Kuhlenstr. 27,Westerstede,Niedersachsen,DE,26655,+49 4488 5204690,,info@henco-gmbh.de,http://www.hencobikes.de,"Montag - Freitag: 9:00 - 18:00 Uhr
Samstag: 9:00 - 14:00 Uhr",53.25551,7.921093,Y,Y,N,N
Henco GmbH & Co. KG Edewecht,Haupstr. 46,Edewecht,Niedersachsen,DE,26188,+49 4405 9845356,,info@henco-gmbh.de,http://www.hencobikes.de,"Montag - Freitag: 9:00 - 18:00 Uhr
Samstag: 9:00 - 13:00 Uhr",53.12837,7.98492,N,Y,N,N
Henco GmbH & Co. KG Bockhorn,Hilgenholterstr. 49,Bockhorn,Niedersachsen,DE,26345,+49 4453 9868420,,info@henco-gmbh.de,http://www.hencobikes.de,"Montag - Freitag: 9:30 - 18:00 Uhr
Samstag: 9:30 - 14:00 Uhr",53.371261,8.002813,N,Y,N,N
Henco GmbH & Co. KG Brinkum bei Leer,Gewerbestr. 2,Brinkum,Niedersachsen,DE,26835,+49 4950 2229,,info@henco-gmbh.de,http://www.hencobikes.de,"Montag - Freitag: 9:00 - 12:30 & 13:30 - 18:00 Uhr
Samstag: 9:00 - 13:00 Uhr",53.268754,7.552577,N,Y,N,N
Henco GmbH & Co. KG Wiesmoor,Neuer Weg  9,Wiesmoor,Niedersachsen,DE,26639,+49 4944 6329,,info@henco-gmbh.de,http://www.hencobikes.de,"Montag - Freitag: 9:00 - 18:00 Uhr
Samstag: 9:00 - 13:00 Uhr",53.410453,7.725545,N,Y,N,N
Elektrorad-Partner,Hangwerfeld 4,Havixbeck,Nordrhein-Westfalen,DE,48329,+49 2507 983705,,info@elektrorad-partner.de,http://www.elektrorad-partner.de,"Montag - Freitag: 8:00 - 13:00 & 15:00 - 18:00 Uhr
Samstag: 10:00 - 13:00 Uhr",51.978714,7.429084,N,Y,N,Y
Zweiradhaus Terbrack ,Bahnhofstraße 18,Vreden,Nordrhein-Westfalen,DE,48691,+49 256497999,,info@vredenna.de,http://www.fahrradhaus-terbrack.de/,"Montag - Freitag: 9:00 - 12:30 & 14:00 - 18:00 Uhr
Samstag: 9:00 - 12:30 Uhr",52.031835,6.821651,N,Y,N,Y
Zweirad Dütsch ,Münsterstraße 10 �?12,Emsdetten,Nordrhein-Westfalen,DE,48282,+49 2572 960 797 4,,emsdetten@zweirad-duetsch.de,https://ebike-emsdetten.de/,"Montag - Freitag: 9:00 �?12:30 & 14:00 �?18:00 Uhr
Samstag: 9:00 �?13:00 Uhr",52.174483,7.535238,N,Y,N,Y
Radwerk Hachen,Am Sportplatz 3,Sundern,Nordrhein-Westfalen,DE,59846,+49 2935 1038,,radwerkhachen@gmx.de,https://radwerk-hüsten.de,"Montag - Freitag: 8:30 - 18:00 Uhr
Samstag: 8:30 - 13:00 Uhr",51.372241,7.977513,N,Y,N,Y
Radwerk Hüsten,Kleinbahnstraße 11,Arnsberg,Nordrhein-Westfalen,DE,59759,+49 2932 9319993,,radwerkhuesten@gmx.de,https://radwerk-hüsten.de,"Montag - Freitag: 8:30 - 18:00 Uhr
Samstag: 8:30 - 13:00 Uhr",51.432926,7.984571,N,Y,N,Y
A Ruota Libera Varese,"Via Cesare Battisti, 17�?,,Varese,Varese,IT,21100,+39 0332 280094""",​aruotalibera1@gmail.com,https://www.aruotaliberavarese.com/,Monday - Saturday: 9:00 - 12:30 & 15:00 - 19:00,45.821007,8.823626,Dealer,N,Y,N,Y,,,,,
A Ruota Libera Castronno,"Via Lombardia, 91",Castronno,Varese,IT,21040,+39 0332 893170,,aruotalibera1@gmail.com,https://www.aruotaliberavarese.com/,Monday - Saturday: 9:00 - 12:30 & 15:00 - 19:00,45.763611,8.8119,N,Y,N,Y
Zweirad Center Horst Weynand,Zur Domaine 25,Bütgenbach ,Wallonia,BE,4750,+32 80 64 22 01,,weynand.horst@skynet.be,https://h-weynand.be/,"Monday: closed
Tuesday - Friday: 9:00 - 12:00 & 13:00 - 18:00
Saturday: 9:00 - 12:00 & 13:00 - 16:00 (during winter until 15:00)",50.412309,6.220246,Y,Y,N,N
e-Bike Corner,Wernberger Straße 48,Pfreimd,Bayern,DE,92536,+49 96065979430,,info@ebike-corner.de,https://ebike-corner.de/,"Montag: geschlossen
Dienstag - Freitag: 9:00 - 12:00 & 13:00 - 18:00 Uhr
Samstag: 9:00 - 14:00 Uhr",49.502327,12.182867,Y,Y,N,Y
Les Cycles Clemer,"124 A, rue du Général de Gaulle ",La Neuville en Hez,Haute-Normandie,FR,60510,+33 3 44 68 03 72,,cyclesclemer@outlook.com,http://www.cyclesclemer.fr,"Monday: closed
Tuesday - Saturday: 9:30 - 12:00 & 14:00 - 18:30",49.404782,2.322003,N,Y,N,Y
2Rad Leuer,Hauptstraße 50,Meckenheim,Nordrhein-Westfalen,DE,53340,+492225 2272,,info@2rad-leuer.de,https://www.2rad-leuer.de/,"Montag: geschlossen
Dienstag - Freitag: 10:00 - 13:00 & 14:00 - 18:30 Uhr
Samstag: 10:00 - 14:00 Uhr",50.623142,7.021424,N,Y,N,Y
Zweirad Hees,Hammersraße 19,Kreuztal,Nordrhein-Westfalen,DE,57223,+49 2732-79843 0,,info@zweirad-hees.com,https://www.zweirad-hees.com/,"Montag - Freitag: 10:00 - 18:00 Uhr
Samstag: 10:00 - 13:00 Uhr",50.98031,7.979547,N,Y,N,Y
Zweirad-Schmiede,Zum Königsberg 5,Erkelenz,Nordrhein-Westfalen,DE,41812,+49 2435 3314,,zweirad-schmiede@online.de,https://www.zweirad-schmiede.de/,"Montag, Dienstag, Donnerstag & Freitag: 9:00 - 18:30 Uhr
Mittwoch: 9:00 - 12:30 Uhr
Samstag: 9:00 - 14:00 Uhr",51.029889,6.325645,N,Y,N,Y
Velo City Soest,Elfser Weg 27a,Soest,Nordrhein-Westfalen,DE,59494,+49 2921 31318,,info@velo-city-soest.de,https://www.velo-city-soest.de/,"Montag, Dienstag, Donnerstag & Freitag: 10:00 - 18:00 Uhr
Mittwoch: 10:00 - 13:00 Uhr
Samstag: 10:00 - 14:00 Uhr",51.56361,8.125177,N,Y,N,Y
Takari Cicli,VIA NICOLÒ REZZARA 14/16,RANICA (BG),Bologna,IT,24020,39035514313,,info@takari.it,https://www.takari.it/,"Monday: 15:00 - 19:00
Tuesday -  Friday: 9:00 - 12:30 & 15:00 - 19:00
Saturday: 9:00 - 12:30",45.720652,9.721738,N,Y,N,Y
E-Bike Shop Gevelsberg,Körnerstraße 79,Gevelsberg,Nordrhein-Westfalen,DE,58285,+49 176 31390444,,info@ebike-shop.eu,http://www.ebike-shop.eu,"Montag: geschlossen
Dienstag - Freitag: 13:00 - 18:00 Uhr
Samstag: 10:00 - 14:00 Uhr",51.321478,7.335997,Y,Y,N,Y
E-Bike Shop Ennepetal,Berninghauser Str. 2,Ennepetal,Nordrhein-Westfalen,DE,58256,+49 176 62425684,,info@ebike-shop.eu,http://info@ebike-shop.eu,"Montag: geschlossen
Dienstag - Freitag: 13:00 - 18:00 Uhr
Samstag: 10:00 - 14:00 Uhr",51.297856,7.351478,N,Y,N,Y
E-Bike ServicePoint Riegersburg,Riegersburg 53b,Riegersburg,Steiermark,AT,8333,+43 681 84619785,,,https://bauerbikes.com/standorte/standort-riegersburg/,"Freitag: 10:00 - 13:00 Uhr 
Samstag: 10:00 - 13:00 Uhr ",46.996641,15.941665,N,Y,N,Y
Bike Activ,Taunusstraße 44,Großkrotzenburg,Hessen,DE,63538,+49 6186 201310,,info@bike-activ.de,https://bike-activ.de/,"Montag, Dienstag, Donnerstag & Freitag: 10:00 - 13:00  &14:00 - 18:00 Uhr
Mittwoch: geschlossen
Samstag: 9:00 - 13:00 Uhr",50.083582,8.974159,N,Y,N,Y
Fahrrad Heidemann,Saarstraße 6a,Trier,Rheinland-Pfalz,DE,54290,+49 651 9945227,,info@fahrrad-heidemann.de,https://www.fahrrad-heidemann.de/,"Montag: geschlossen
Dienstag - Freitag: 9:00 - 18:00 Uhr
Samstag: 9:00 - 14:00 Uhr",49.749125,6.636651,N,Y,N,Y
Radlladen am Schweinemarkt,Hauptstraße 8,Pegnitz,Bayern,DE,91257,+49 9241 4986630,,radlladen.am.schweinemarkt@gmail,https://radlladen-am-schweinemarkt.de/,"Montag, Donnerstag & Freitag: 10:00 - 18:00 Uhr
Dienstag: nach Vereinbarung
Mittwoch: geschlossen
Samstag: 10:00 - 12:00 Uhr",49.756596,11.543414,N,Y,N,Y
EBIKE LAB,Viale Lecco 79,Como,Como,IT,22100,+39 3102270072,,info@ebikelab.it,http://www.ebikelab.it,Monday - Friday: 9:30 - 12:30 & 14:30 - 19:00,45.80898,9.087737,N,Y,N,Y
Kiki´s Fahrradhaus Silbernagl,Am Römerstein 16,Gilching,Bayern,DE,82205,+49 81055036,,info@fahrradhaus-silbernagl.de,http://www.fahrradhaus-silbernagl.de,"Montag, Dienstag, Donnerstag & Freitag: 10:00 - 18:00 Uhr
Mittwoch: geschlossen
Samstag: 10:00 - 14:00 Uhr",48.105737,11.305102,N,Y,N,Y
Velo Sport Werner Otto GmbH,Pastor Niemöller Platz 8,Berlin,Berlin,DE,13156,+49 30 20093711,,info@premium-bikeshop.de,https://www.premium-bikeshop.de/,"Montag - Freitag: 10:00 - 19:00 Uhr
Samstag: geschlossen",52.579787,13.396914,N,Y,N,Y
Zweirad Müller,Frankfurter Strasse 67,Bad Vilbel,Hessen,DE,61118,+49 6101 85826,,info@fahrrad-mueller.info,https://www.fahrrad-mueller.info,"Montag, Dienstag, Donnerstag & Freitag: 8:30 (10:00*) - 12:30 Uhr & 14:30 - 18:00 Uhr
Mittwoch: 8:30 (10:00*) - 12:30 Uhr
Samstag: 8:30 (10:00*) - 13:00 Uhr
* In der Zeit vom 14.10.2024 bis 28.02.2025 erst ab 10:00 Uhr",50.180394,8.740399,N,Y,N,Y
HB Zero ,Via Cesare Battisti 61,Costa Volpino BG,Bergamo,IT,24062,+39 3356557739 ,,hbzerobike@gmail.com,https://www.hbzerosrl.it/,"Monday - Friday: 8:30 - 12:30 & 14:00 - 19:30
Saturday: 8:30 - 18:30 ",45.823665,10.108221,N,Y,N,Y
Die Fahrradprofis,Wangener Straße 17,Ravensburg,Baden-Wuerttemberg,DE,88212,+49 751 362994 0,,shop@fahrradprofis.de,https://www.fahrradprofis.de/,"Montag - Freitag: 10:00 - 18:00 Uhr
Samstag: 9:00 - 16:00 Uhr",47.777171,9.619251,N,Y,N,Y
BIKE POINT JENA-OST,Breite Straße 2,Jena,Thüringen,DE,07749,+49 3641 827110,,mail@bike-point-jena.de,https://bike-point-jena.de/,"Montag - Freitag: 10:00 - 18:00 Uhr
Samstag: 10:00 - 13:00 Uhr",50.93217,11.605501,N,Y,N,Y
HM Racing,Hauptstra0e 120,Hage,Niedersachsen,DE,26524,+49 4931 9301115,,info@powerformx.de,http://powerformx.de/,"Montag, Dienstag, Mittwoch & Freitag: 9:00 - 12:00 & 14:00 - 17:00 Uhr
Donnerstag: 9:00 - 12:00 & 14:00 - 19:00 Uhr
Samstag: 9:00 - 12:00 Uhr",53.603031,7.276639,Y,Y,N,N
RADWerk Görlitz,Heilige-Grab-Straße 26,Görlitz,Sachsen,DE,02826 ,+49 3581 4298990,,epost@radwerk-goerlitz.de,https://www.radwerk.online/,"Montag - Freitag: 9:00 - 18:00 Uhr
Samstag: 9:00 - 12:00 Uhr",51.159704,14.977407,N,Y,N,Y
Rad-Konzept Mario Johannsohn,Ernst-Thälmann-Straße 125,Senftenberg,Brandenburg,DE,01968,+49 35738100811,,radkonzept-senftenberg@web.de,,"Montag - Freitag: 9:00 - 18:00 Uhr
Samstag: 9:00 - 12:00 Uhr",51.522387,13.981763,N,Y,N,Y
Radsport Claassen,Judenstraße 24,Kempen,Nordrhein-Westfalen,DE,47906,+49 2152 3398,,info@radsport-claassen.de,https://radsport-claassen.de/,"Montag - Freitag: 9:00 - 13:00 & 14:00 - 18:30 Uhr
Samstag: 10:00 - 14:00 Uhr",51.364809,6.419228,Y,Y,N,Y
MTB Store,Langwahn 100,Eschweiler,Nordrhein-Westfalen,DE,52249,+49 240322497,,info@mtb-store.de,https://www.mtb-store.de/,"Montag, Mittwoch & Freitag: 13:00 - 18:00 Uhr
Samstag: 10:00 - 13:00 Uhr",50.816293,6.259344,N,Y,N,Y
Zweirad Nübling,Rudolf Diesel Straße 9,Denzlingen,Baden-Wuerttemberg,DE,79211,+49 7666 5078,,info@zweirad-nuebling.de,https://www.zweirad-nuebling.de/,"Montag, Dienstag, Donnerstag & Freitag: 8:00 - 12:30 & 14:00 - 18:00 Uhr
Mittwoch: 8:00 - 12:30 Uhr
Samstag: 9:00 - 13:00 Uhr",48.075166,7.883081,N,Y,N,N
